"Title","Context","Country","Document","Document type","Global cluster","HPC Document Repository","Life cycle steps","Media","Original publication date","Population Types","Post date","Published","Updated date","Description","Path","Nid"
"TECHNICAL BRIEF: How to approach a dataset / Part 1: Data preparation","","","https://assessments.hpc.tools/sites/default/files/km/GuidanceData_ACAPS_DataPrep1_2013.pdf, https://assessments.hpc.tools/sites/default/files/km/GuidanceData_ACAPS_DataPrepXLS1_2013.xlsx","Example","","","Designing Primary Data Collection methods, Data Processing and summary outputs","","","All affected population","2018-11-15","Yes","2019-04-17","","/km/technical-brief-how-approach-dataset-part-1-data-preparation","5577"
"TECHNICAL BRIEF: How to approach a dataset / Part 2: Data preparation","","","https://assessments.hpc.tools/sites/default/files/km/GuidanceData_ACAPS_DataPrep2_2013.pdf, https://assessments.hpc.tools/sites/default/files/km/GuidanceData_ACAPS_DataPrepXLS2_2013.xlsx","Example","","","Designing Primary Data Collection methods, Basic data analysis","","","All affected population","2018-11-15","Yes","2019-04-17","","/km/technical-brief-how-approach-dataset-part-2-data-preparation","5578"
"TECHNICAL BRIEF: How to approach a dataset / Part 3: Data preparation","","","https://assessments.hpc.tools/sites/default/files/km/GuidanceData_ACAPS_DataPrep3_2013.pdf","Example","","","Designing Primary Data Collection methods, Data Processing and summary outputs","","","All affected population","2018-11-15","Yes","2019-04-17","","/km/technical-brief-how-approach-dataset-part-3-data-preparation","5579"
"Syria MSNA 2014: Discarding process for Questionnaires","","Syrian Arab Republic","https://assessments.hpc.tools/sites/default/files/km/QuestionnaireDiscardDecisionNote_MSNA_Turkey_2014.docx","Example","","","Designing Primary Data Collection methods","","","All affected population","2018-11-15","Yes","2019-04-15","","/km/syria-msna-2014-discarding-process-questionnaires","5580"
"Multi-Sector Initial Rapid Assessment (MIRA) Guidance","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/03_mira_revised_2015_en_0.pdf, https://assessments.hpc.tools/sites/default/files/km/mira_revised_2015_es_0.pdf, https://assessments.hpc.tools/sites/default/files/km/mira_revised_2015_fr_1.pdf, https://assessments.hpc.tools/sites/default/files/km/mira_revised_2015_ru_0.pdf","Guidance","","","Designing Primary Data Collection methods, Designing Secondary Data Review (SDR) methods, Estimation of Humanitarian Population figures","","","All affected population","2018-11-15","Yes","2020-03-11","The Multi-Cluster/Sector Initial Rapid Assessment (MIRA) is a joint needs assessment tool that can be used in sudden onset emergencies, including IASC System-Wide Level 3 Emergency Responses (L3 Responses). It guides subsequent in-depth sectoral assessments and provides decision-makers with timely, adequate, sufficiently accurate and reliable information to collectively identify strategic humanitarian priorities.

The MIRA Guidance is available in English, French, Russian and Spanish.
","/km/multi-sector-initial-rapid-assessment-mira-guidance-0","5581"
"Training Manual for Training of Enumerators  / Data Collectors ","","","https://assessments.hpc.tools/sites/default/files/km/TrainingFacilitatorGuide_ACAPS.docx","Guidance","","","Designing Primary Data Collection methods","","","All affected population","2018-11-15","Yes","2018-11-15","","/km/training-manual-training-enumerators-data-collectors","5582"
"Humanitarian Profile Support Guidance","","","https://assessments.hpc.tools/sites/default/files/km/04.1_humanitarianprofile_guidance2016.pdf","Guidance","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO), People Affected / People in Need","Estimation of Humanitarian Population figures","","2016-04-04T00:00:00","All affected population","2018-11-15","Yes","2019-04-15","","/km/humanitarian-profile-support-guidance","5583"
"CAR 2014: Guidance for Enumerators on Data Collection (in French)","","Central African Republic","https://assessments.hpc.tools/sites/default/files/km/GuidelinesEnumerators_MIRA_CAR_2014.docx","Example","","","Designing Primary Data Collection methods","","","All affected population","2018-11-15","Yes","2019-04-15","Ces lignes directrices sont élaborées pour appuyer la cohérence dans la collecte de données sur les besoins et  assurer des évaluations efficaces et fiables par les enumérateurs. L’orientation générale peut être utilisée pour n’importe quelle évaluation, les orientations spécifiques se rapportent directement au MIRA.
These guidelines are developed to support consistency in the collection of needs data and to ensure efficient and reliable evaluations by enumerators. The general orientation can be used for any evaluation, the specific orientations relate directly to the MIRA.
","/km/car-2014-guidance-enumerators-data-collection-french","5584"
"Assessment Registry Briefing","Rural, Urban","Iraq","https://assessments.hpc.tools/sites/default/files/km/2018_05_07_awg_imwg_ar-briefing_rev.ppt","Example","","","Determining current state of needs assessment","","","All affected population","2018-11-22","Yes","2019-04-15","Example: Iraq Assessment Registry briefing for Clusters and partners (2018)
","/km/assessment-registry-briefing-0","5608"
"HNO - HRP Step by Step Guidance 2020","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/hpc-stepbystep_v6.pdf","Guidance","","","","","","All affected population","2018-12-04","Yes","2020-01-16","This output is designed to support the Humanitarian Country Team in developing a shared understanding of the impact and evolution of a crisis. The humanitarian needs overview helps inform strategic response planning. Most importantly, it works to ensure that credible evidence and a joint analysis of needs underpin an effective and prioritised humanitarian response.

Available in English
","/km/hno-hrp-step-step-guidance-2020","5633"
"Humanitarian Glossary","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/03-Humanitarian_Glossary_2012%5B4%5D.pdf","Guidance","","","Establishing coordination to support coordinated assessments","","","All affected population","2018-12-04","Yes","2020-03-11","Key humanitarian terms taken from the Operational Guidance for Coordinated Assessments in Humanitarian Crises (2012)
","/km/humanitarian-glossary","5634"
"Market Analysis: Technical Guidance Note on the Integration of Market Analysis in Different Types of Needs Assessments","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/05-Market%20Analysis%20Guidance%20Sheet.pdf","Guidance","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO), Cross Cutting Issues, Market Analysis","Designing Secondary Data Review (SDR) methods, Summarising and interpretation of inter-sectoral analysis","","","All affected population","2018-12-04","Yes","2019-04-15","A guidance note prepared by NAAS on inclusion of market analysis in Secondary Data Reviews (SDRs), different types of needs assessments (MIRA, MSNAs, harmonized sectoral assessments) and HNOs.
","/km/market-analysis-technical-guidance-note-integration-market-analysis-different-types-needs","5636"
"Assessment and Analysis Framework for Multi-Year Planning","","","https://assessments.hpc.tools/sites/default/files/km/AssesstAnalysisFrameworkMultiyearPlanning-CASS-10-08-16.pdf","Guidance","","","","","","All affected population","2018-12-04","Yes","2018-12-04","Whether a crisis situation is resolving or has reached a standstill, multi-year planning requires deeper assessment and analysis than would be the case for short-term yearly planning.","/km/assessment-and-analysis-framework-multi-year-planning","5638"
"Joint Inter-Sectoral Analysis Guidance for OCHA","","","https://assessments.hpc.tools/sites/default/files/km/JointInterSectAnalysis-OCHAGuidance-08-11-16.pdf","Guidance","","Needs Assessment and Analysis","Process and coordination of joint analysis","","2016-09-22T00:00:00","All affected population","2018-12-04","Yes","2019-04-16","This internal guidance for OCHA clarifies the responsibilities of OCHA in supporting joint inter-sectoral analysis of needs, as part of the Humanitarian Needs Overview (HNO) exercise as well as for other types of inter-sectoral assessments, and indicates how this can be done in practice. It describes the steps that can be followed to facilitate discussions across agencies, sectors/clusters and other stakeholders, and to organize the data and information.
","/km/joint-inter-sectoral-analysis-guidance-ocha","5639"
"Inter-Sectoral Needs Analysis and Integrated Response (Yemen)","Rural, Urban","Yemen","https://assessments.hpc.tools/sites/default/files/km/OCHA%20Yemen_HPC_Berlin_Presentation_2018_For_Participants.pdf","Example","","","Process and coordination of joint analysis","","","All affected population","2018-12-04","Yes","2019-04-15","","/km/inter-sectoral-needs-analysis-and-integrated-response-yemen","5640"
"Inter-Sector Analysis, Response Monitoring and Gap Analysis","","Syrian Arab Republic","https://assessments.hpc.tools/sites/default/files/km/Syria_Inter-sector_Needs_Analysis_For_Participants.pdf","Example","","","Process and coordination of joint analysis","","","","2018-12-04","Yes","2019-04-15","Syria case-study : 2018 HNO
","/km/inter-sector-analysis-response-monitoring-and-gap-analysis","5641"
"2018 HNOs - Good Examples and Practices","","","https://assessments.hpc.tools/sites/default/files/km/2018%20HNOs-Good%20examples%20and%20practices.pptx","Example","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO), People Affected / People in Need, Market Analysis","Estimation of Humanitarian Population figures","","","","2018-12-05","Yes","2019-04-17","Examples on PiN methodologies, Severity of Needs, Market Analysis, Vulnerable Groups from 2018 HNOs.
","/km/2018-hnos-good-examples-and-practices","5642"
"2017 HNOs: Good practices and areas for improvement","","","https://assessments.hpc.tools/sites/default/files/km/2017%20HNOs-Good%20practices%20and%20improvement%20areas.pptx","Lessons Learned","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO)","Lessons learned","","","","2018-12-05","Yes","2019-04-17","Good practices and areas for improvement in the 2017 HNOs
(with regards to the development process and the output)
","/km/2017-hnos-good-practices-and-areas-improvement","5643"
"2020 Humanitarian Needs Overview - Template","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/hno_template.pdf, https://assessments.hpc.tools/sites/default/files/km/hno_annotated_template.pdf","Template","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO)","","","2019-04-15T00:00:00","All affected population","2019-04-15","Yes","2019-05-08","Humanitarian needs overviews should be produced twice a year to support the Humanitarian Country Team (HCT) in developing a shared understanding of the impact and evolution of a crisis and to inform response planning. This document presents a comprehensive analysis of the overall situation and associated needs. It is structured along the analytical framework developed for the Multi-Cluster/Sector Intial Rapid Assessment (MIRA).

The humanitarian needs overview builds and expands upon the needs analysis chapter of the former CAP document, consisting of a discrete step in the implementation of the programme cycle. Its development is a shared responsibility among all humanitarian actors, requiring strong collaboration between programme and information management staff as well as support from the OCHA country office and the inter-cluster coordination mechanism.
","/km/2020-humanitarian-needs-overview-template","6148"
"2020 Humanitarian Response Plan - Template","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/hrp_v101.pdf","Template","","Humanitarian Response Plan (HRP)","","","2019-04-15T00:00:00","","2019-04-15","Yes","2019-04-15","HRPs build upon humanitarian needs overviews which provide the evidence base and analysis of the magnitude of the crisis and identify the most pressing humanitarian needs. These needs inform the strategic objectives in the HRP. The various cluster plans follow from these strategic objectives.

Humanitarian response plans are primarily management tools for the humanitarian coordinator (HC) and HCT. In addition however they can be used to communicate the scope of the response to an emergency to donors and the public, and thus serve a secondary purpose for resource mobilization. Response monitoring in turn follows the strategic plan, as it seeks to determine whether the goals and targets set in the HRP are actually achieved.
","/km/2020-humanitarian-response-plan-template","6153"
"Step-by-Step Practical Guide for Humanitarian Needs Overviews, Humanitarian Response Plans and Updates","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/hpc-stepbystep_guidance.pdf, https://assessments.hpc.tools/sites/default/files/km/hpc-processoverview.pdf","Guidance","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO), People Affected / People in Need, Response Analysis and Planning, Humanitarian Response Plan (HRP), People Targeted","","","2019-04-12T00:00:00","All affected population","2019-04-15","Yes","2019-05-08","This document provides practical, step-by-step guidance on how to organise the collaboration among the various stakeholders to prepare joint inter-sectoral needs analysis, including for the Humanitarian Needs Overview (HNO), and response plans and updates, including the Humanitarian Response Plan (HRP). It should be read alongside the HNO and HRP templates.

The document complements the existing IASC Humanitarian Programme Cycle (HPC) Guidance, which aims to ensure an evidence-based and resultsoriented collective response to which Clusters and organizations contribute. It specifically aims to enhance the quality and usefulness of needs analysis to inform response decisions, and to support outcome-oriented response planning. The steps re-assert the sequence of the needs analysis and planning, with needs analysis directly informing the decision-making with regards to response, including the preparation of new plans and adjustments to existing ones.
","/km/step-step-practical-guide-humanitarian-needs-overviews-humanitarian-response-plans-and-updates","6158"
"HNO/HRP Process Overview","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/hpc-processoverview_v21.pdf","Guidance","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO), Response Analysis and Planning, Humanitarian Response Plan (HRP)","","","2019-04-15T00:00:00","All affected population","2019-04-15","Yes","2019-04-15","","/km/hnohrp-process-overview","6163"
"Humanitarian Needs Comparison Tool - Guidance and Setting up instructions","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/Humanitarian%20Needs%20Comparison%20Tool%20Guidance%202015%20FINAL-EN.pdf, https://assessments.hpc.tools/sites/default/files/km/NCT%20Technical%20Instructions.pdf","Guidance","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO)","Designing Primary Data Collection methods","","2019-04-15T00:00:00","All affected population","2019-04-15","Yes","2019-04-15","Generating structured information products that can facilitate joint intersectoral analysis of humanitarian needs is a major challenge in many humanitarian emergencies. At the same time, ensuring consensus on the key humanitarian needs of a crisis-affected population, and how these vary between sectors and geographic areas, can be invaluable in supporting both strategic and operational analysis of the response required. This becomes particularly important when considering setting priorities as part of strategic response planning, which the needs analysis must inform.

Using a methodology for vulnerability and severity ranking is recommended to condense large amounts of humanitarian needs information into a format that allows for comparison and discussion. OCHA has developed a standardised, Excel-based humanitarian needs comparison tool based on field practice.
","/km/humanitarian-needs-comparison-tool-guidance-and-setting-instructions","6168"
"Humanitarian Needs Comparison Tool - Example","","","https://assessments.hpc.tools/sites/default/files/km/Nigeria_HNO_Comparison_Tool_v0.1.zip","Example","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO)","Designing Primary Data Collection methods, Primary Data Collection","","2019-04-15T00:00:00","","2019-04-15","Yes","2019-04-15","The Humanitarian Needs Comparison Tool, with data on Nigeria as an example.
","/km/humanitarian-needs-comparison-tool-example","6173"
"Strategic Response Planning guidance","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/SRP%20Guidance%202015%20final_2.pdf, https://assessments.hpc.tools/sites/default/files/km/SRP%20Guidance%202015%20final_French.pdf","Guidance","","Response Analysis and Planning, Humanitarian Response Plan (HRP), People Targeted","","","2019-04-15T00:00:00","All affected population","2019-04-15","Yes","2019-04-15","The strategic response plan articulates the shared vision of how to respond to the affected population’s assessed and expressed needs. The strategic response plan (SRP) is a management tool for response and supports decision-making by the humanitarian country team. It has two interlinked components: a country or context strategy, with strategic objectives and indicators; and cluster plans, with objectives, activities and accompanying projects. Together they detail how the strategy will be implemented and how much funding is required.
","/km/strategic-response-planning-guidance","6178"
"HRP Guidance annex - Underfunded requirements","","","https://assessments.hpc.tools/sites/default/files/km/20%20Annex%20-%20Note%20on%20how%20to%20cut.pdf","Guidance","","Response Analysis and Planning, Humanitarian Response Plan (HRP), HPC Projects Module","","","2019-04-15T00:00:00","","2019-04-15","Yes","2019-04-15","UNFUNDED REQUIREMENTS: HOW TO CUT?
When a strategic response plan is being updated or revised, it is sometimes said that projects which have not yet started should have their budgets decreased, as there is now less time for implementing the activities. Some easy formulas are sometimes used, like “halve all unfunded projects”. In fact, things are not that simple. Practical recommendations on how to cut in case of underfunded requirements.
","/km/hrp-guidance-annex-underfunded-requirements","6183"
"HRP Guidance annex - Environment marker","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/SRP%20guidance_Environment%20Marker_0.pdf","Guidance","","Response Analysis and Planning, Humanitarian Response Plan (HRP)","","","2019-04-15T00:00:00","All affected population","2019-04-15","Yes","2019-04-15","Humanitarian actors can use the Environment Marker to identify the potential positive and negative impacts of humanitarian projects on the environment and to act on these considerations in work plans and funding proposals. This document informs on when and how the environment marker can be used. The document can be used by partners and clusters at the project development stage and by donors to screen projects for potential environmental impact. 
","/km/hrp-guidance-annex-environment-marker","6188"
"Better Humanitarian Financing Concept Note","","","https://assessments.hpc.tools/sites/default/files/km/Better%20Humanitarian%20Financing%20Concept%20Note%20-%2023%20May%202018.pdf","Guidance","","Global Developments","","","2019-04-15T00:00:00","","2019-04-15","Yes","2019-04-15","Between now and the end of 2018, OCHA’s Humanitarian Financing and Resource Mobilization Division (HFRMD) will facilitate an exercise to generate fresh thinking about our organization-wide approach to humanitarian financing. In his speech, ‘A Collective Call Towards Innovation in Humanitarian Funding,’ USG Mark Lowcock proposed a fundamental shift from ‘reaction’ to ‘anticipation’ in the global humanitarian response and laid out a six-point policy agenda on how to achieve it. This agenda spans across best practices, emerging approaches, and policy research in humanitarian financing that resonate with the collective commitments of the World Humanitarian Summit and link with broader global frameworks such as the Sustainable Development Goals (SDGs). To inform his speech, the USG also posted a blog and asked OCHA staff to share their views on it.
","/km/better-humanitarian-financing-concept-note","6193"
"A Casement Lecture: Towards a Better System for Humanitarian Financing","","","https://assessments.hpc.tools/sites/default/files/km/Casement%20Lecture%20-%20Humanitarian%20Financing%20-%20Dublin%2023.3.2018.docx.pdf","Example","","Global Developments","","","2019-04-15T00:00:00","","2019-04-15","Yes","2019-04-15","USG's keynote speech in Ireland on 23 march 2018
","/km/casement-lecture-towards-better-system-humanitarian-financing","6198"
"Monitoring: Needs and Response Updates in the Humanitarian Programme Cycle","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/Continous%20Monitoring_Concept_Note_For_Resource_Repository.pdf","Guidance","","Needs Assessment and Analysis, Monitoring, Situation Monitoring, Needs Monitoring, Response Monitoring","","","2017-07-11T00:00:00","","2019-04-16","Yes","2019-04-16","Humanitarian programme cycle (HPC) analysis and planning are currently mostly executed as a “one-off” exercise mostly during the third quarter of the year. This is problematic for various reasons:


	The process has become too product-focused, driven by the drafting of Humanitarian NeedsOverview (HNO) and Humanitarian Response Plan (HRP) documents that eventually enable theproduction of the annual Global Humanitarian Overview (GHO), which is important to fund-raising efforts.
	It is resource-intensive, requiring significant staff time from OCHA and partners.
	It results in a snapshot of needs and response priorities that become often quickly out of date, asthe situation evolves.


More regular updates of humanitarian needs and response progress and gaps should help address these issues by consolidating and analysing information and data throughout the year, as required, with the aim to inform more timely and relevant response decisions by the Humanitarian Country Team (HCT). There is nothing new in this concept, as monitoring has been an integral part of the HPC since its inception with the Transformative Agenda in 2011. However, its implementation has proven elusive, including because of the heavy focus on the yearly HNO and HRP outputs.
","/km/monitoring-needs-and-response-updates-humanitarian-programme-cycle","6203"
"Humanitarian Response Monitoring Guidance","","","https://assessments.hpc.tools/sites/default/files/km/humanitarian_response_monitoring_guidance_2016_en_1.pdf, https://assessments.hpc.tools/sites/default/files/km/humanitarian_response_monitoring_guidance_2016_fr_1.pdf, https://assessments.hpc.tools/sites/default/files/km/standard_presentation_response_monitoring_2016.pptx, https://assessments.hpc.tools/sites/default/files/km/standard_presentation_response_monitoring_2016_fr.pptx, https://assessments.hpc.tools/sites/default/files/km/response_monitoring_key_messages_2016_en_0.docx, https://assessments.hpc.tools/sites/default/files/km/response_monitoring_key_messages_2016_fr.docx","Guidance","","Monitoring, Response Monitoring","","","2016-04-16T00:00:00","","2019-04-16","Yes","2019-04-16","Monitoring of humanitarian aid delivered to affected populations has existed for some time. Humanitarian actors, when implementing projects, establish systems and procedures that measure what is implemented and delivered, the results achieved and the quality. However, monitoring the collective results of a large-scale, multi-agency intervention is less standardized. In the past years, efforts to address response monitoring at this larger scale have gained momentum and
several initiatives have been undertaken. The present guidance is a result of that, setting basic principles for monitoring the collective response in humanitarian crises.
","/km/humanitarian-response-monitoring-guidance","6208"
"Humanitarian Dashboard Template","","","https://assessments.hpc.tools/sites/default/files/km/humanitarian_dashboard_template_0_0.pdf, https://assessments.hpc.tools/sites/default/files/km/humanitarian_dashboard_excel_template_1.xlsx, https://assessments.hpc.tools/sites/default/files/km/humanitarian_dashboard_template.zip, https://assessments.hpc.tools/sites/default/files/km/dashboard_data_collection_template_0.xlsx, https://assessments.hpc.tools/sites/default/files/km/dashboard_data_storage_template.xlsx","Template","","Monitoring, Response Monitoring, People Reached","","","2016-04-16T00:00:00","","2019-04-16","Yes","2019-04-16","
	Adobe Illustrator version
	MS Exel
	PDF format
	Data Collection template
	Data Storage template

","/km/humanitarian-dashboard-template","6213"
"3Ws Template","","","https://assessments.hpc.tools/sites/default/files/km/3WOP%20Template%20v0.3%20201411102.zip, https://assessments.hpc.tools/sites/default/files/km/EN_2_3_1%205W%20Matrix%20Template.%20WHO%20does%20WHAT%2C%20WHERE%2C%20WHEN%20and%20for%20WHOM.xlsx","Tool","","Monitoring, Response Monitoring","Availability of needs & response data and information gaps","","2019-04-16T00:00:00","","2019-04-16","Yes","2019-04-16","
	3Ws template in excel

","/km/3ws-template","6218"
"OPS Requirements Example","","","https://assessments.hpc.tools/sites/default/files/km/OPS%20Requirements_ji.xlsx","Example","","Response Analysis and Planning, HPC Tools, HPC Projects Module","","","2019-04-16T00:00:00","","2019-04-16","Yes","2019-04-16","","/km/ops-requirements-example","6223"
"Identification of Information Gaps & Planning of Assessments","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/04-Identification%20of%20info%20gaps%20and%20assessment%20planning_0.pdf","Capacity Building","","Needs Assessment and Analysis","Determining current state of needs assessment, Localise coordinated assessment strategy","","2019-04-16T00:00:00","All affected population","2019-04-16","Yes","2019-04-17","The presentation reflect on weak areas, learn from good examples and identify approaches for assessment planning in different context.
","/km/identification-information-gaps-planning-assessments","6228"
"Provisional Internal Note on Joint Analysis Between Humanitarian and Development Actors","","","https://assessments.hpc.tools/sites/default/files/km/06-Provisional%20Internal%20Note%20on%20Joint%20Analysis%20Between%20Humanitarian%20and%20Development%20Actors.pdf","Guidance","","Needs Assessment and Analysis, Humanitarian Development Nexus","Process and coordination of joint analysis","","2018-04-04T00:00:00","","2019-04-16","Yes","2019-04-16","An increasing number of UN Country Teams and Humanitarian Country Teams in the field as well as headquarters’ UN agencies, international Finance Institutions such as the World Bank and national governments are expressing or reasserting their interest in strengthening the linkages between humanitarian and development interventions, including under the New Way of Working. Multi-year planning of humanitarian response is already being increasingly adopted to encourage more sustainable results and, where possible, facilitate the transition between short and longer term programmes and eventually reduce the former. Few of these multi-year humanitarian plans have been based on a solid analysis that builds on past trends and brings in contextual information typically found in development analyses. Experiences with joint analysis between humanitarian and development actors are not documented, thus limiting lesson learning.

This provisional guidance note is an attempt to assist OCHA Country Offices with facilitating and supporting joint analysis between humanitarian and development actors when appropriate. Reflecting the paucity of concrete examples of practical ways to arrange for and undertake joint analysis, the guidance is admittedly still conceptual rather than grounded in proven experience, but is an attempt to suggest workable steps that can be applied and adapted to each field context.
","/km/provisional-internal-note-joint-analysis-between-humanitarian-and-development-actors","6233"
